Total battles: 3355619
Avg. weight/team: 0.003
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Basculegion        | 51.50283% | 1749052 | 26.062% | 0      |  0.000% |
| 2    | Kingambit          | 40.68590% | 1644541 | 24.504% | 0      |  0.000% |
| 3    | Garchomp           | 40.53102% | 1722130 | 25.660% | 0      |  0.000% |
| 4    | Charizard-Mega-Y   | 31.80593% | 962750 | 14.345% | 0      |  0.000% |
| 5    | Sneasler           | 28.58143% | 1849286 | 27.555% | 0      |  0.000% |
| 6    | Incineroar         | 25.93218% | 1701936 | 25.359% | 0      |  0.000% |
| 7    | Floette-Mega       | 23.91784% | 659882 |  9.832% | 0      |  0.000% |
| 8    | Sinistcha          | 20.44494% | 1664307 | 24.799% | 0      |  0.000% |
| 9    | Sylveon            | 17.90496% | 727054 | 10.833% | 0      |  0.000% |
| 10   | Whimsicott         | 17.65387% | 1035859 | 15.435% | 0      |  0.000% |
| 11   | Archaludon         | 17.43073% | 1040266 | 15.500% | 0      |  0.000% |
| 12   | Farigiraf          | 16.11824% | 1123830 | 16.745% | 0      |  0.000% |
| 13   | Aerodactyl-Mega    | 12.18962% | 505424 |  7.531% | 0      |  0.000% |
| 14   | Pelipper           | 12.14752% | 972874 | 14.496% | 0      |  0.000% |
| 15   | Sableye            |  8.83939% | 751179 | 11.193% | 0      |  0.000% |
| 16   | Dragonite-Mega     |  7.91703% | 349671 |  5.210% | 0      |  0.000% |
| 17   | Maushold           |  7.90381% | 396553 |  5.909% | 0      |  0.000% |
| 18   | Aegislash          |  7.46214% | 449513 |  6.698% | 0      |  0.000% |
| 19   | Blastoise-Mega     |  7.44536% | 402743 |  6.001% | 0      |  0.000% |
| 20   | Rotom-Wash         |  7.43348% | 738144 | 10.999% | 0      |  0.000% |
| 21   | Glimmora           |  6.79788% | 249293 |  3.715% | 0      |  0.000% |
| 22   | Aerodactyl         |  6.72207% | 681936 | 10.161% | 0      |  0.000% |
| 23   | Talonflame         |  6.18961% | 408465 |  6.086% | 0      |  0.000% |
| 24   | Froslass-Mega      |  6.09033% | 343698 |  5.121% | 0      |  0.000% |
| 25   | Scovillain-Mega    |  6.01229% | 343628 |  5.120% | 0      |  0.000% |
| 26   | Torkoal            |  5.83496% | 442072 |  6.587% | 0      |  0.000% |
| 27   | Venusaur-Mega      |  5.78369% | 312923 |  4.663% | 0      |  0.000% |
| 28   | Gengar-Mega        |  5.59685% | 519375 |  7.739% | 0      |  0.000% |
| 29   | Milotic            |  5.39427% | 663886 |  9.892% | 0      |  0.000% |
| 30   | Kangaskhan-Mega    |  5.25589% | 227727 |  3.393% | 0      |  0.000% |
| 31   | Tyranitar-Mega     |  5.10319% | 452583 |  6.744% | 0      |  0.000% |
| 32   | Kommo-o            |  4.97619% | 287074 |  4.278% | 0      |  0.000% |
| 33   | Vivillon           |  4.68446% | 151522 |  2.258% | 0      |  0.000% |
| 34   | Politoed           |  4.32992% | 314245 |  4.682% | 0      |  0.000% |
| 35   | Ninetales-Alola    |  4.18268% | 333501 |  4.969% | 0      |  0.000% |
| 36   | Corviknight        |  4.11024% | 386014 |  5.752% | 0      |  0.000% |
| 37   | Gardevoir-Mega     |  4.03817% | 283527 |  4.225% | 0      |  0.000% |
| 38   | Scizor-Mega        |  3.59870% | 330481 |  4.924% | 0      |  0.000% |
| 39   | Dragonite          |  3.50096% | 178824 |  2.665% | 0      |  0.000% |
| 40   | Glimmora-Mega      |  3.46770% | 208773 |  3.111% | 0      |  0.000% |
| 41   | Lopunny-Mega       |  3.36146% | 220724 |  3.289% | 0      |  0.000% |
| 42   | Excadrill          |  3.32436% | 291894 |  4.349% | 0      |  0.000% |
| 43   | Delphox-Mega       |  2.92285% | 275811 |  4.110% | 0      |  0.000% |
| 44   | Hydreigon          |  2.79175% | 225635 |  3.362% | 0      |  0.000% |
| 45   | Meowscarada        |  2.38745% | 183250 |  2.730% | 0      |  0.000% |
| 46   | Primarina          |  2.36259% | 325998 |  4.857% | 0      |  0.000% |
| 47   | Meganium-Mega      |  2.29061% | 328501 |  4.895% | 0      |  0.000% |
| 48   | Tyranitar          |  2.14278% | 228144 |  3.399% | 0      |  0.000% |
| 49   | Venusaur           |  2.10597% | 214292 |  3.193% | 0      |  0.000% |
| 50   | Charizard-Mega-X   |  2.03448% | 156848 |  2.337% | 0      |  0.000% |
| 51   | Espathra           |  1.92437% | 146085 |  2.177% | 0      |  0.000% |
| 52   | Camerupt-Mega      |  1.88271% | 158064 |  2.355% | 0      |  0.000% |
| 53   | Tsareena           |  1.81435% | 258765 |  3.856% | 0      |  0.000% |
| 54   | Palafin            |  1.81418% | 154081 |  2.296% | 0      |  0.000% |
| 55   | Volcarona          |  1.79718% | 177178 |  2.640% | 0      |  0.000% |
| 56   | Kangaskhan         |  1.78037% | 181545 |  2.705% | 0      |  0.000% |
| 57   | Kleavor            |  1.73055% | 100221 |  1.493% | 0      |  0.000% |
| 58   | Skarmory-Mega      |  1.59740% | 96414  |  1.437% | 0      |  0.000% |
| 59   | Snorlax            |  1.54506% | 147321 |  2.195% | 0      |  0.000% |
| 60   | Typhlosion-Hisui   |  1.51642% | 162801 |  2.426% | 0      |  0.000% |
| 61   | Scizor             |  1.48782% | 113462 |  1.691% | 0      |  0.000% |
| 62   | Ceruledge          |  1.48146% | 171286 |  2.552% | 0      |  0.000% |
| 63   | Tinkaton           |  1.44264% | 140380 |  2.092% | 0      |  0.000% |
| 64   | Dragapult          |  1.40406% | 246999 |  3.680% | 0      |  0.000% |
| 65   | Gallade            |  1.36717% | 148939 |  2.219% | 0      |  0.000% |
| 66   | Rotom-Heat         |  1.19605% | 156149 |  2.327% | 0      |  0.000% |
| 67   | Arcanine-Hisui     |  1.19348% | 126015 |  1.878% | 0      |  0.000% |
| 68   | Weavile            |  1.08080% | 117327 |  1.748% | 0      |  0.000% |
| 69   | Crabominable-Mega  |  1.04087% | 158296 |  2.359% | 0      |  0.000% |
| 70   | Zoroark-Hisui      |  1.03142% | 187669 |  2.796% | 0      |  0.000% |
| 71   | Araquanid          |  0.95065% | 149247 |  2.224% | 0      |  0.000% |
| 72   | Clefable           |  0.94303% | 153811 |  2.292% | 0      |  0.000% |
| 73   | Starmie-Mega       |  0.88777% | 142566 |  2.124% | 0      |  0.000% |
| 74   | Garchomp-Mega      |  0.87027% | 107007 |  1.594% | 0      |  0.000% |
| 75   | Heliolisk          |  0.83355% | 171856 |  2.561% | 0      |  0.000% |
| 76   | Umbreon            |  0.83255% | 54643  |  0.814% | 0      |  0.000% |
| 77   | Slowking-Galar     |  0.82602% | 101019 |  1.505% | 0      |  0.000% |
